unit_no,RUL_true,RUL_pred_005,RUL_pred_05,RUL_pred_095
3.0,69.0,36.45939,71.43373,114.86087
4.0,157.0,75.63139,122.84706,206.15796
4.0,156.0,79.36648,124.27625,253.83939
4.0,155.0,78.535164,123.965355,166.17986
4.0,154.0,74.70031,124.05592,205.84961
4.0,153.0,77.677155,127.20281,188.17883
4.0,152.0,72.05668,123.052666,192.09338
4.0,151.0,84.232376,129.62865,204.84207
4.0,150.0,73.10565,127.002174,182.9462
4.0,149.0,72.1935,115.176285,173.54373
4.0,148.0,74.45578,135.35461,203.83438
4.0,147.0,73.142975,126.12993,191.30199
4.0,146.0,73.91205,130.2899,202.3286
4.0,145.0,67.9486,139.67876,243.84135
4.0,144.0,68.05477,120.517105,187.91034
4.0,143.0,78.82255,123.25272,193.18488
4.0,142.0,73.01686,124.467445,208.13715
4.0,141.0,92.73732,106.256226,163.55878
4.0,140.0,69.32165,113.51034,195.59729
4.0,139.0,64.22389,113.49096,209.24434
4.0,138.0,98.23756,121.76566,170.47993
4.0,137.0,75.36315,124.270584,191.24158
4.0,136.0,75.85258,125.69552,214.38284
4.0,135.0,77.51893,137.91727,197.99301
4.0,134.0,76.64835,114.67564,207.28764
4.0,133.0,79.99189,116.61186,159.85841
4.0,132.0,70.70984,121.4727,209.1746
4.0,131.0,68.066505,115.84394,202.15996
4.0,130.0,68.556885,115.250336,184.00981
4.0,129.0,66.9645,117.69455,168.06248
4.0,128.0,71.07318,116.204384,197.50589
4.0,127.0,68.37437,129.50687,158.2777
4.0,126.0,74.430626,122.57412,174.18954
4.0,125.0,92.52747,122.9694,192.04489
4.0,124.0,71.69592,116.3167,158.18585
4.0,123.0,79.87265,114.23853,201.85852
4.0,122.0,79.59343,110.968025,180.44983
4.0,121.0,84.350746,110.35246,182.50581
4.0,120.0,70.058365,114.46868,185.71269
4.0,119.0,73.50565,111.8896,176.60425
4.0,118.0,70.57061,117.993675,203.80167
4.0,117.0,67.89298,113.40545,159.9077
4.0,116.0,84.704926,104.30429,160.76787
4.0,115.0,61.843533,112.338905,183.28592
4.0,114.0,66.89214,108.436005,157.28665
4.0,113.0,65.34664,105.95415,144.21701
4.0,112.0,58.464905,106.99152,163.09026
4.0,111.0,58.110615,100.369064,124.705
4.0,110.0,56.906013,94.64693,165.57266
4.0,109.0,57.35056,92.14325,159.36688
4.0,108.0,67.620636,109.11332,144.97452
4.0,107.0,69.35243,103.03181,188.30614
4.0,106.0,58.458733,107.28325,170.91322
4.0,105.0,81.58067,108.14842,166.53596
4.0,104.0,66.13414,116.60147,166.68176
4.0,103.0,65.33973,114.16171,184.49792
4.0,102.0,63.99511,118.79645,149.23424
4.0,101.0,58.133053,110.845314,159.02887
4.0,100.0,67.78036,98.163826,126.86319
4.0,99.0,70.96614,110.38059,135.1445
4.0,98.0,67.50596,108.95633,165.28214
4.0,97.0,64.89721,101.3026,155.5643
4.0,96.0,71.04929,99.31074,183.62576
4.0,95.0,64.95669,112.21069,173.58029
4.0,94.0,59.968857,116.96684,157.21214
4.0,93.0,71.4913,118.47491,147.15392
4.0,92.0,63.32084,109.99294,179.05215
4.0,91.0,58.50716,113.936035,124.50698
4.0,90.0,69.32071,105.58495,148.06343
4.0,89.0,71.75304,104.86813,134.55655
4.0,88.0,57.88401,105.03225,144.68462
4.0,87.0,71.4174,98.96153,137.04579
4.0,86.0,50.73852,90.28317,120.45159
4.0,85.0,61.013577,112.029495,123.48064
4.0,84.0,60.31369,104.19979,157.9664
4.0,83.0,60.552494,101.10284,144.84682
4.0,82.0,61.83063,109.707245,125.23553
5.0,158.0,69.64703,105.79688,143.5246
5.0,157.0,76.772285,126.60877,188.19511
5.0,156.0,92.37428,123.991776,181.94594
5.0,155.0,78.03951,128.30634,187.64534
5.0,154.0,78.860565,134.42862,204.42357
5.0,153.0,80.81764,133.54475,178.42017
5.0,152.0,72.7275,135.91058,168.29141
5.0,151.0,74.21719,122.1059,193.8576
5.0,150.0,69.561676,132.41866,218.34488
5.0,149.0,84.26877,138.87947,202.82925
5.0,148.0,71.161026,120.80071,193.36214
5.0,147.0,65.38306,106.95872,163.75781
5.0,146.0,81.38568,97.46401,162.5232
5.0,145.0,69.45389,116.96956,175.22263
5.0,144.0,98.0212,103.95316,190.15457
5.0,143.0,69.66991,100.840256,187.2456
5.0,142.0,67.263664,114.929794,177.51646
5.0,141.0,71.17878,100.56575,187.13809
5.0,140.0,72.004715,111.08209,204.62175
5.0,139.0,52.383057,115.31296,172.98802
5.0,138.0,73.095345,106.69485,183.38402
5.0,137.0,67.26368,109.842445,203.12729
5.0,136.0,74.59246,107.612045,197.92046
5.0,135.0,63.72289,110.136375,173.62369
5.0,134.0,72.49079,121.09977,193.91162
5.0,133.0,72.649734,95.21,175.81616
5.0,132.0,66.16114,118.686104,209.02869
5.0,131.0,80.735344,136.04614,190.0703
5.0,130.0,78.371315,114.42624,203.26024
5.0,129.0,71.69653,116.15114,154.69493
5.0,128.0,70.00478,107.61191,194.85509
5.0,127.0,65.34682,122.07335,228.93224
5.0,126.0,65.49275,114.46619,171.35594
5.0,125.0,72.28276,117.08128,170.31982
5.0,124.0,75.04803,114.37824,181.48857
5.0,123.0,73.673706,125.07068,180.52428
5.0,122.0,68.29046,120.34194,193.90184
5.0,121.0,74.51571,125.66944,193.5198
5.0,120.0,69.92785,112.46263,138.39507
5.0,119.0,68.46252,110.86137,210.09607
5.0,118.0,62.126602,111.429634,163.80276
5.0,117.0,66.18536,118.721596,183.60426
5.0,116.0,61.05731,109.22056,170.36383
5.0,115.0,62.368774,111.59915,187.62483
5.0,114.0,49.391815,92.1729,142.22768
5.0,113.0,65.944534,101.79342,166.08351
5.0,112.0,55.88516,102.08629,169.20993
5.0,111.0,59.815395,110.28304,159.33313
5.0,110.0,71.33057,106.69448,104.927986
5.0,109.0,59.27741,112.7234,161.05986
5.0,108.0,80.52855,111.60289,184.66815
5.0,107.0,58.14632,110.16093,172.46541
5.0,106.0,70.09417,111.77266,195.2429
5.0,105.0,70.45217,114.83057,155.17253
5.0,104.0,71.31328,122.62066,183.69824
5.0,103.0,69.2625,113.48694,155.42073
5.0,102.0,79.28622,120.43888,167.97719
5.0,101.0,64.76212,105.64431,161.12662
5.0,100.0,69.48811,104.0493,183.79976
5.0,99.0,59.940456,111.52669,175.03516
5.0,98.0,67.68595,116.62266,146.33105
5.0,97.0,60.1423,113.316605,154.64697
5.0,96.0,84.91047,120.09531,174.20526
5.0,95.0,50.237732,102.234695,151.51321
5.0,94.0,59.350975,110.27336,194.8459
5.0,93.0,48.325584,91.90583,173.35915
5.0,92.0,52.814953,99.37386,156.78583
5.0,91.0,56.911446,101.08268,178.6919
6.0,167.0,79.89058,132.13849,221.01973
6.0,166.0,76.4044,116.83636,209.8436
6.0,165.0,68.30159,111.99142,204.60313
6.0,164.0,65.78981,110.42234,186.79889
6.0,163.0,71.05501,119.97594,221.6628
6.0,162.0,77.30614,122.88114,231.80067
6.0,161.0,77.332985,125.592125,194.32214
6.0,160.0,75.45765,128.9297,208.06056
6.0,159.0,77.16165,126.7169,201.52318
6.0,158.0,65.22501,125.82203,197.442
6.0,157.0,77.62706,126.99221,164.90059
6.0,156.0,74.740845,124.126274,228.036
6.0,155.0,78.47892,131.17896,165.22011
6.0,154.0,76.36485,119.71987,217.96323
6.0,153.0,72.13623,116.28236,199.22452
6.0,152.0,69.63177,112.84032,183.76701
6.0,151.0,70.52211,105.13046,159.90498
6.0,150.0,71.86155,107.50474,194.9849
6.0,149.0,76.45403,125.2148,213.45178
6.0,148.0,76.27507,125.904976,260.85724
6.0,147.0,77.38945,135.92395,196.25827
6.0,146.0,78.49643,135.86923,193.15332
6.0,145.0,83.98092,124.94562,206.2451
6.0,144.0,78.984566,123.975746,189.02553
6.0,143.0,79.59471,131.15094,199.35736
6.0,142.0,78.90397,124.47676,220.46854
6.0,141.0,73.3846,137.92169,200.23068
6.0,140.0,72.94116,117.146866,204.73376
6.0,139.0,70.44951,134.78728,183.82962
6.0,138.0,69.71853,134.76494,230.10168
6.0,137.0,79.079735,123.58282,229.45236
6.0,136.0,75.88125,125.3322,199.95985
6.0,135.0,65.22954,116.5344,214.9138
6.0,134.0,62.685204,107.78999,196.50906
6.0,133.0,65.546196,110.923546,168.41608
6.0,132.0,64.83485,94.35888,201.17863
6.0,131.0,63.902996,97.00324,173.89479
6.0,130.0,69.97753,118.55716,203.5672
6.0,129.0,70.23432,122.03241,161.57567
6.0,128.0,64.04445,118.939186,176.33763
6.0,127.0,73.93731,118.73726,202.46931
6.0,126.0,82.756645,124.292206,208.27531
6.0,125.0,71.19529,119.10354,158.78175
6.0,124.0,73.85024,137.97285,184.04466
6.0,123.0,67.72206,120.09014,184.99144
6.0,122.0,62.18542,118.35796,211.38992
6.0,121.0,67.82831,119.2278,152.2011
6.0,120.0,104.92915,121.93083,154.05411
6.0,119.0,77.048225,119.86598,188.93253
6.0,118.0,61.81548,118.25107,178.18661
6.0,117.0,66.046455,99.82027,160.48116
6.0,116.0,68.77561,121.2876,173.10655
6.0,115.0,65.876396,111.436676,180.90802
6.0,114.0,72.01421,103.645935,151.06483
6.0,113.0,85.97787,116.0922,195.24687
6.0,112.0,64.0414,122.37852,167.61623
6.0,111.0,62.961174,118.34242,158.48132
6.0,110.0,73.40301,117.58491,177.46555
6.0,109.0,67.09027,117.33345,206.8145
6.0,108.0,78.93956,112.01852,118.941765
6.0,107.0,78.37732,113.2329,199.7511
6.0,106.0,66.051895,124.31406,159.42886
6.0,105.0,70.945496,116.810814,167.58676
6.0,104.0,69.61867,127.82513,157.14848
6.0,103.0,67.069,130.18877,174.67801
6.0,102.0,70.80617,120.18622,170.05588
6.0,101.0,65.60419,110.30009,152.76701
6.0,100.0,58.278397,124.83045,178.12415
6.0,99.0,74.07704,112.62162,177.21269
6.0,98.0,59.282314,125.86841,215.66501
6.0,97.0,71.701515,113.04571,172.26292
6.0,96.0,61.02056,103.691475,184.65907
6.0,95.0,66.856415,92.91578,156.68709
6.0,94.0,73.04732,99.31578,119.011665
6.0,93.0,68.58514,106.94937,176.43729
7.0,220.0,111.18608,152.44414,210.07002
7.0,219.0,112.92956,149.81038,241.62756
7.0,218.0,111.290794,162.69366,217.24255
7.0,217.0,122.80688,157.83197,223.20695
7.0,216.0,111.20082,163.85924,222.50102
7.0,215.0,115.32448,156.55072,223.80666
7.0,214.0,113.34073,138.36223,207.57526
7.0,213.0,107.82633,141.68063,215.83147
7.0,212.0,101.03768,140.20337,217.65295
7.0,211.0,110.76433,153.86899,219.44487
7.0,210.0,105.44,143.74586,203.31842
7.0,209.0,103.09926,145.35066,208.48183
7.0,208.0,102.785866,151.63258,233.15706
7.0,207.0,105.4844,154.39386,216.08888
7.0,206.0,112.01578,136.04166,197.98187
7.0,205.0,106.31628,150.52667,249.95193
7.0,204.0,105.60471,157.16812,195.41405
7.0,203.0,107.47378,152.66808,225.9708
7.0,202.0,104.90835,148.29979,210.83223
7.0,201.0,110.18065,152.30325,203.58743
7.0,200.0,105.14462,148.23466,219.11633
7.0,199.0,108.81026,140.53673,194.206
7.0,198.0,123.76291,147.28001,196.72075
7.0,197.0,109.51387,153.41513,218.55414
7.0,196.0,109.26519,155.87529,199.28537
7.0,195.0,111.709564,160.84448,211.2234
7.0,194.0,107.18792,143.14406,212.44809
7.0,193.0,116.917404,156.81079,240.4241
7.0,192.0,113.99437,156.18866,215.04561
7.0,191.0,114.68072,162.76851,218.92284
7.0,190.0,115.27424,152.9832,211.45894
7.0,189.0,111.93223,155.13524,282.08368
7.0,188.0,111.120895,170.27966,213.43835
7.0,187.0,106.98837,164.62595,209.74301
7.0,186.0,111.41746,157.54329,205.83316
7.0,185.0,110.39785,152.19316,218.38092
7.0,184.0,111.81088,155.28836,209.23987
7.0,183.0,102.84896,145.67886,206.61647
7.0,182.0,108.09847,141.77534,213.14943
7.0,181.0,100.22403,139.58704,236.1103
7.0,180.0,106.95671,146.48615,233.62675
7.0,179.0,95.67154,153.03505,202.69498
7.0,178.0,113.00308,165.99144,233.20807
7.0,177.0,103.81588,155.57616,231.5169
7.0,176.0,101.91426,141.59981,204.29372
7.0,175.0,103.342926,154.74937,203.21097
7.0,174.0,110.28802,149.26892,221.41745
7.0,173.0,94.37336,137.96931,225.45871
7.0,172.0,95.045845,140.92719,209.14073
7.0,171.0,99.11897,135.72063,210.03894
7.0,170.0,97.09376,140.16035,238.07133
7.0,169.0,97.6026,132.74638,200.59369
7.0,168.0,94.88569,134.68393,216.48134
7.0,167.0,103.78709,141.34962,215.0228
7.0,166.0,77.45404,147.93787,200.34438
7.0,165.0,111.72543,127.687,202.90392
7.0,164.0,105.36427,145.77159,244.44493
7.0,163.0,110.15853,122.965996,211.9494
7.0,162.0,101.0041,121.75485,204.32663
7.0,161.0,96.95123,130.2341,201.6399
7.0,160.0,102.26374,130.86967,191.08781
7.0,159.0,98.06526,141.764,214.38576
7.0,158.0,111.41064,134.28781,220.9247
7.0,157.0,107.832214,151.39073,207.65349
7.0,156.0,111.138466,139.13538,191.27013
7.0,155.0,102.07119,145.23943,209.8212
7.0,154.0,113.432655,165.82039,224.79362
7.0,153.0,105.78328,148.66801,207.78445
7.0,152.0,113.583984,143.56293,202.5466
7.0,151.0,102.362114,146.79309,209.19305
7.0,150.0,103.337456,136.95177,206.2112
7.0,149.0,90.930954,130.42273,195.73328
7.0,148.0,92.55622,130.61034,211.30533
7.0,147.0,105.965866,133.57361,206.25522
7.0,146.0,96.61002,140.83012,229.74294
7.0,145.0,100.8125,143.30136,213.93213
7.0,144.0,113.100815,157.16371,216.98476
7.0,143.0,122.20925,139.08493,208.53703
7.0,142.0,94.62666,133.66162,224.42937
7.0,141.0,105.949715,140.42139,199.72997
7.0,140.0,103.7274,135.72954,222.12956
7.0,139.0,90.48381,131.18565,217.70798
7.0,138.0,90.85313,140.41933,208.48631
7.0,137.0,111.84795,131.10701,196.42378
7.0,136.0,95.57721,122.04757,205.8243
7.0,135.0,86.727905,121.93301,256.8688
7.0,134.0,88.191414,126.52761,203.17168
7.0,133.0,90.65411,120.89849,210.28935
7.0,132.0,96.44727,112.94675,235.96947
7.0,131.0,92.89831,120.0006,201.22366
7.0,130.0,77.90536,99.59098,203.5991
7.0,129.0,78.20184,109.607574,217.43094
7.0,128.0,97.69321,120.530754,203.3599
7.0,127.0,93.76035,120.65174,197.58755
7.0,126.0,96.80386,115.81075,203.00494
7.0,125.0,96.4048,126.20381,210.28276
7.0,124.0,87.069756,117.33496,225.24019
7.0,123.0,139.20555,122.373146,202.58705
7.0,122.0,95.07146,131.08345,203.37819
7.0,121.0,94.0806,119.46862,202.78705
7.0,120.0,88.834145,117.60654,199.50835
7.0,119.0,89.84239,114.17968,232.32076
7.0,118.0,81.66821,123.29021,214.02266
7.0,117.0,88.83792,119.69871,192.03758
7.0,116.0,94.56999,128.05518,184.92805
7.0,115.0,95.3846,118.88349,200.25919
7.0,114.0,104.58247,124.5455,199.55165
7.0,113.0,81.51366,102.42966,228.4355
7.0,112.0,84.77092,108.542305,221.41394
7.0,111.0,87.66735,106.83,177.04825
7.0,110.0,91.44676,113.14819,238.96736
7.0,109.0,83.11503,107.85029,199.01123
7.0,108.0,78.77309,104.51761,188.2355
7.0,107.0,81.02468,110.69638,166.20813
7.0,106.0,75.360466,104.0463,205.30965
7.0,105.0,79.74778,98.15614,205.66716
7.0,104.0,72.30334,95.68525,190.04668
7.0,103.0,75.457855,104.15874,167.27664
7.0,102.0,72.14911,93.71411,208.93439
7.0,101.0,86.50412,102.255455,202.3816
7.0,100.0,75.70542,97.67517,194.95564
7.0,99.0,69.2657,104.17597,176.31734
7.0,98.0,80.779205,107.68285,219.56029
7.0,97.0,79.688416,109.88449,244.17303
7.0,96.0,72.44426,105.90173,183.39055
7.0,95.0,72.90427,104.58256,170.34386
7.0,94.0,77.56177,117.11664,213.5495
7.0,93.0,84.42199,106.894485,196.83943
7.0,92.0,78.425186,103.53958,199.20018
7.0,91.0,77.879,95.74881,181.34608
8.0,230.0,82.16486,124.1035,199.42188
8.0,229.0,87.34488,129.43909,183.93756
8.0,228.0,76.72725,113.31168,226.35785
8.0,227.0,86.90104,120.96374,234.87888
8.0,226.0,81.271034,122.4489,204.38063
8.0,225.0,90.96617,138.55315,214.62108
8.0,224.0,75.80187,120.29495,193.22005
8.0,223.0,82.100075,122.49524,206.62775
8.0,222.0,79.683525,120.60893,189.85846
8.0,221.0,83.97881,133.36049,202.9421
8.0,220.0,78.13452,135.52365,211.75107
8.0,219.0,89.687004,133.38422,187.21588
8.0,218.0,82.13256,140.56285,173.53352
8.0,217.0,76.18597,133.08432,187.02106
8.0,216.0,82.988846,134.0277,212.84955
8.0,215.0,90.72641,134.26212,186.5469
8.0,214.0,87.9167,133.7513,208.60646
8.0,213.0,90.889305,114.0806,180.15106
8.0,212.0,79.70652,126.54847,192.92313
8.0,211.0,88.70019,134.04553,184.37398
8.0,210.0,70.12012,117.18691,195.64613
8.0,209.0,89.96513,127.87801,213.60402
8.0,208.0,117.39888,126.48259,191.01634
8.0,207.0,81.51966,130.36516,203.71425
8.0,206.0,76.1278,119.48368,173.72885
8.0,205.0,80.97868,117.71728,187.13426
8.0,204.0,75.82291,110.86906,207.07466
8.0,203.0,78.20878,104.22816,198.736
8.0,202.0,79.97367,122.55883,178.66039
8.0,201.0,85.743454,127.46167,186.33435
8.0,200.0,82.4288,127.01899,195.56644
8.0,199.0,84.7742,132.86365,197.38385
8.0,198.0,85.717606,133.55663,171.33852
8.0,197.0,81.39612,131.08635,217.29614
8.0,196.0,89.70173,140.97807,219.48538
8.0,195.0,73.109604,135.61115,183.19577
8.0,194.0,83.529076,132.59985,209.05052
8.0,193.0,95.156624,128.70798,187.85089
8.0,192.0,81.322495,138.88292,233.69064
8.0,191.0,91.95431,132.49174,198.21996
8.0,190.0,75.35291,130.00673,190.7132
8.0,189.0,100.27834,113.73691,179.19676
8.0,188.0,79.76269,124.34569,224.49954
8.0,187.0,75.04207,137.13324,203.69162
8.0,186.0,76.865456,133.80507,233.19162
8.0,185.0,81.87552,134.54506,190.71024
8.0,184.0,84.37139,115.77798,187.85901
8.0,183.0,86.2004,139.38121,210.44571
8.0,182.0,91.1757,137.34761,199.7163
8.0,181.0,95.94424,131.48955,229.90132
8.0,180.0,88.177284,131.73253,216.29913
8.0,179.0,81.73782,128.45438,199.65147
8.0,178.0,72.83739,140.12671,186.28755
8.0,177.0,68.816284,134.32239,229.54054
8.0,176.0,75.08837,130.59903,192.78462
8.0,175.0,82.00178,129.67871,184.78008
8.0,174.0,74.02235,125.046844,182.64746
8.0,173.0,72.399025,124.770096,207.17662
8.0,172.0,76.05816,127.67995,185.6712
8.0,171.0,83.073074,129.48502,213.60866
8.0,170.0,72.43434,114.68469,175.31601
8.0,169.0,87.84035,118.58477,199.21059
8.0,168.0,78.44685,119.5755,175.17677
8.0,167.0,68.86262,112.20297,187.0109
8.0,166.0,64.20948,123.155594,176.78812
8.0,165.0,61.46897,120.78428,223.35541
8.0,164.0,71.20824,137.70898,223.13855
8.0,163.0,64.76109,123.02443,183.7462
8.0,162.0,73.927345,126.49543,169.85535
8.0,161.0,70.30887,123.75338,235.1226
8.0,160.0,69.452126,112.87316,183.88354
8.0,159.0,65.14198,106.116,199.41537
8.0,158.0,79.50655,117.87296,199.79214
8.0,157.0,80.82134,128.0435,174.32455
8.0,156.0,84.12085,127.62484,195.42043
8.0,155.0,63.45538,113.34236,199.57268
8.0,154.0,80.35168,115.92906,193.83192
8.0,153.0,80.36644,134.78699,171.1613
8.0,152.0,77.86967,133.56017,140.55269
8.0,151.0,70.82086,121.69616,159.65144
8.0,150.0,78.378296,127.99601,170.43175
8.0,149.0,69.665215,128.4001,182.09845
8.0,148.0,75.354034,129.00874,202.25296
8.0,147.0,77.62786,124.698456,180.80504
8.0,146.0,79.43298,123.27556,182.90442
8.0,145.0,75.06458,119.895386,172.62527
8.0,144.0,66.87005,103.84255,197.44327
8.0,143.0,62.058975,98.28069,188.31535
8.0,142.0,76.46146,123.93909,195.10909
8.0,141.0,73.5853,140.27095,200.21263
8.0,140.0,86.97309,127.16857,193.76012
8.0,139.0,80.40985,139.67032,189.89352
8.0,138.0,75.66975,136.88573,204.6737
8.0,137.0,75.067825,134.25148,176.8529
8.0,136.0,112.88215,149.52356,199.08469
8.0,135.0,71.65421,141.52258,178.46814
8.0,134.0,78.06965,131.60913,181.54536
8.0,133.0,85.370674,132.05273,214.54488
8.0,132.0,75.452446,125.229195,208.28577
8.0,131.0,63.49965,124.438805,184.84499
8.0,130.0,74.90766,117.87914,200.66519
8.0,129.0,79.755615,107.1852,155.9556
8.0,128.0,72.6317,125.99142,171.2785
8.0,127.0,69.81185,115.15804,153.97408
8.0,126.0,66.690475,114.16009,198.08722
8.0,125.0,76.07878,126.03452,171.87193
8.0,124.0,69.94937,116.79926,181.63809
8.0,123.0,69.97745,116.564186,184.17764
8.0,122.0,65.27943,121.1288,181.12683
8.0,121.0,72.055664,109.54639,162.33685
8.0,120.0,59.403275,113.61924,179.0039
8.0,119.0,62.15759,104.094055,167.8673
8.0,118.0,67.22622,117.79662,155.33717
8.0,117.0,81.66137,114.73466,162.5435
8.0,116.0,69.88824,112.2868,145.75423
8.0,115.0,57.234478,104.26827,170.69566
8.0,114.0,61.982002,108.08127,156.10657
8.0,113.0,63.862724,110.296364,142.6786
8.0,112.0,73.70218,125.96224,169.2892
8.0,111.0,58.387516,112.557144,160.23611
8.0,110.0,68.79882,116.03124,196.28026
8.0,109.0,72.47343,117.74549,197.324
8.0,108.0,53.449512,101.12741,186.6189
8.0,107.0,65.497925,116.40598,144.44078
8.0,106.0,56.77125,115.40376,188.39345
8.0,105.0,69.49417,116.78987,161.78479
8.0,104.0,59.548203,114.09441,161.3743
8.0,103.0,60.403996,111.5529,148.02621
8.0,102.0,56.597004,119.23336,149.77956
8.0,101.0,60.489094,114.89702,159.09741
8.0,100.0,55.644554,116.8871,167.86049
8.0,99.0,55.613853,105.56623,134.99922
8.0,98.0,52.1959,111.596886,186.66437
8.0,97.0,58.481773,99.22318,143.22726
8.0,96.0,61.593323,119.577126,166.77092
8.0,95.0,64.26895,95.87382,138.52003
9.0,135.0,81.25186,130.25082,183.72952
9.0,134.0,72.75023,135.36063,166.25151
9.0,133.0,91.50716,126.89052,172.84258
9.0,132.0,66.195786,123.57965,184.6575
9.0,131.0,81.02242,111.82397,166.05106
